hospital_name,county,level,ownership
NARAMAT MEDICAL AND DENTAL CLINIC,Narok,Level 3,Private Practice - Clinical Officer
Caritas community hospital (Hospital),Kiambu,Level 4,Private Practice - General Practitioner
Agakhan Medical Centre-Busia,Busia,Level 2,Private Practice - General Practitioner
Medigold,Nairobi,Level 2,Private Practice - Clinical Officer
Shiraz Dispensary,Kwale,Level 2,Ministry of Health
Deviruco Medical Centre,Busia,Level 2,Private Practice - Clinical Officer
Nairutia Medical Clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Smile Medical Clinic,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Alliance community medical centre,Migori,Level 2,Private Practice - Nurse / Midwifery
Hope Eastwards Medical Services (Kikuyu),Kiambu,Level 2,Private Practice - General Practitioner
Nyangori dispensary (Masaba north),Nyamira,Level 2,Ministry of Health
Neemma Medical clinic,Kilifi,Level 2,Private Practice - Clinical Officer
Hope Cure Medical Clinic,Tharaka-Nithi,Level 2,Private Practice - Clinical Officer
Kiburuti Dispensary,Nyandarua,Level 2,Ministry of Health
Mikeu Dispensary,Nyandarua,Level 2,Ministry of Health
Nairobi County Beyond Zero Clinic,Nairobi,Level 2,Ministry of Health
Domiciliary Health Care Medical Clinic,Bungoma,Level 2,Private Practice - Nurse / Midwifery
Musumaa Disp,Machakos,Level 2,Ministry of Health
SILIBWET YOUTH CENTRE,Bomet,Level 2,Other Faith Based
Kanco wellness centre Mariakani,Kilifi,Level 2,Non-Governmental Organizations
Chebu healthcare services ltd,Kiambu,Level 2,Private Practice - General Practitioner
KABUNGUT DISPENSARY,Bomet,Level 2,Ministry of Health
Norman Munyiri Medical Clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Exodan Medical clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
St James medical centre and health servics,Kiambu,Level 2,Private Practice - Clinical Officer
Kenya Airways Pride Clinic,Nairobi,Level 3,Public Institution
Kamuchege Dispensary (Mirangine),Nyandarua,Level 2,Ministry of Health
St  Francis  Health services,Kiambu,Level 3,Private Practice - Clinical Officer
COSMOS MEDICAL CLINIC,Kiambu,Level 2,Private Practice - Clinical Officer
MOFA-AFYA,Nairobi,Level 2,Private Practice - Clinical Officer
Kayuyu Dispensary,Murang'A,Level 2,Public Institution
Kimkan Hospital,Murang'A,Level 4,Private Practice - Medical Specialist
Chebukutumi Dispensary,Bungoma,Level 2,Ministry of Health
Annex loc.Medical clinic,Laikipia,Level 3,Private Practice - Clinical Officer
ABRAR HEALTH SERVICES-BANISA,Mandera,Level 4,Private Enterprise (Institution)
Jope Medical Clinic,Mombasa,Level 2,Private Practice - Clinical Officer
Lifesprings Health Care,Machakos,Level 2,Private Practice - General Practitioner
Mumui Dispensary (Githioro),Nyandarua,Level 2,Ministry of Health
Galaxy medicare consultants ltd,Kiambu,Level 2,Private Practice - Medical Specialist
Kwale Medicare Center,Kwale,Level 2,Private Practice - Clinical Officer
Dima Mwangaza Clinic,Kwale,Level 2,Other Faith Based
Haradhaal Medical Centre,Machakos,Level 2,Private Practice - General Practitioner
Pearl Medicare Clinic,Machakos,Level 2,Private Practice - General Practitioner
Family Health Optons,Homa Bay,Level 2,Non-Governmental Organizations
Njogu-ini Medical servics,Machakos,Level 2,Private Practice - Clinical Officer
Imani Medical Clinic Gachie,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Medicross Limited Medical Clinic,Machakos,Level 2,Company Medical Service
ST. ANN HOSPITAL,Kiambu,Level 2,Private Practice - Clinical Officer
AAR HEALTH CARE RUAKA,Kiambu,Level 2,Private Practice - General Practitioner
Kamayech,West Pokot,Level 2,Ministry of Health
GEDMED MEDICAL CENTER AND NURSING HOME,Siaya,Level 4,Private Practice - Nurse / Midwifery
Kifables Chemist,Meru,Level 2,Private Practice - General Practitioner
Munje Chemist,Meru,Level 2,Private Practice - General Practitioner
Mwanika dispensary,Meru,Level 2,Ministry of Health
Marathi dispensary,Meru,Level 2,Ministry of Health
St James Opticals Clinic,Bungoma,Level 2,Private Practice - General Practitioner
survivors organization clinic,Busia,Level 2,Non-Governmental Organizations
Holy Rosary Health Centre,Trans Nzoia,Level 2,Kenya Episcopal Conference-Catholic Secretariat
Kimurgoi Dispensary,Uasin Gishu,Level 2,Ministry of Health
OREDHO HEALTH CENTRE,Homa Bay,Level 3,Ministry of Health
St Padre Pio Medical and Surgical Centre,Bungoma,Level 3,Private Practice - Medical Specialist
Chobosta Dispensary,Uasin Gishu,Level 2,Ministry of Health
Segero Central Dispensary,Uasin Gishu,Level 2,Ministry of Health
Chepterit Dispensary,Uasin Gishu,,Ministry of Health
Rayaan Hospital,Kajiado,Level 3,Private Practice - General Practitioner
Kahuhia Girls School Dispensary,Murang'A,Level 2,Private Practice - Nurse / Midwifery
Gaceuni dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Eluanata Dispensary,Kajiado,Level 2,Ministry of Health
Rukindu  Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Kitabisi Dispensary,Bungoma,Level 2,Ministry of Health
SCAN LAB KITENGELA LIMITED,Kajiado,Level 2,Company Medical Service
Makanyanya Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
KYANZASU DISPENSARY,Machakos,Level 2,Ministry of Health
KITANGA DISPENSARY,Machakos,Level 2,Ministry of Health
Mbuvori Prime,Embu,,Private Practice - Nurse / Midwifery
FRANKMART MEDICAL CENTRE,Machakos,Level 2,Private Practice - Clinical Officer
Wajir East  nomadic clinic,Wajir,Level 2,Ministry of Health
Medlink Clinic,Migori,Level 2,Private Practice - Clinical Officer
Gods Favour CNS,Nyeri,Level 2,Private Practice - Nurse / Midwifery
Kapkaremba Dispensary,West Pokot,Level 2,Ministry of Health
Chesra Dispensary,West Pokot,Level 2,Ministry of Health
BEYOND ZERO MOBILE CLINIC,Garissa,Level 2,Ministry of Health
Afya International Hospital,Kilifi,Level 4,Private Practice - Medical Specialist
Romkan Medical Cetre,Kiambu,Level 3,Private Practice - Clinical Officer
JUMUIA HOSPITALS KAKAMEGA,Kakamega,Level 3,Other Faith Based
Kilifi Tumaini Medical Centre,Kilifi,Level 2,Private Practice - Clinical Officer
Noor Foundation Clinic,Kilifi,Level 2,Private Practice - Nurse / Midwifery
Mama Amany Health Centre,Kilifi,Level 2,Private Practice - Nurse / Midwifery
CJ CARNELY,Kakamega,Level 2,Private Practice - Clinical Officer
Swahilati Medical clinic,Mombasa,Level 2,Private Practice - Clinical Officer
CARE MEDICAL CLINIC (Kiamaina),Nakuru,Level 2,Private Practice - Nurse / Midwifery
Vinkmed healthcareclinic,Uasin Gishu,Level 2,Private Practice - Clinical Officer
Kericho Women's Clinic,Kericho,Level 2,Private Practice - Clinical Officer
Nakuru west central store,Nakuru,Level 4,Ministry of Health
THE AGAKHAN HEALTH SERVICES KAKAMEGA,Kakamega,Level 3,Private Enterprise (Institution)
Osarai Dispensary,Kajiado,Level 2,Ministry of Health
Blessed Medicare Centre,Nairobi,Level 3,Private Practice - General Practitioner
By-Faith Medical Clinic,Nakuru,Level 2,Private Practice - Nurse / Midwifery
Kiaga Dispensary,Kirinyaga,Level 2,Ministry of Health
Chamunga Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Kotunga Dispensary,Kisumu,Level 2,Ministry of Health
Kamuiru Dispensary,Kirinyaga,Level 2,Ministry of Health
Huduma Centre- Bungoma,Bungoma,Level 2,Public Institution
Sambocho Health Centre,Bungoma,Level 3,Other Faith Based
Kamwangu Dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Chemalal Dispensary,Uasin Gishu,Level 2,Ministry of Health
Emkwen Dispensary,Uasin Gishu,Level 2,Ministry of Health
Chebarus dispensary,Uasin Gishu,Level 2,Ministry of Health
Muchorwe Dispensary,Uasin Gishu,Level 2,Ministry of Health
Horec Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Capital clinics - Kathonzweni,Makueni,Level 3,Private Practice - General Practitioner
Yordanos Health Clinic,Laikipia,Level 2,Private Practice - Nurse / Midwifery
Poneni Medical Clinic,Mombasa,Level 2,Private Enterprise (Institution)
Mikulinzi Nursing Home,Nairobi,Level 3,Private Practice - Clinical Officer
Cheptiret Dispensary,Uasin Gishu,Level 2,Ministry of Health
Kamuyu  Dispensary (Cheptiret/kipchamo),Uasin Gishu,Level 2,Ministry of Health
MUGEKA HEALTH CLINIC,Murang'A,Level 2,Private Practice - Clinical Officer
Murang'a County Beyond Zero Clinic,Murang'A,Level 2,Ministry of Health
Nandi County Beyond Zero Mobile Clinic,Nandi,Level 2,Ministry of Health
Consolata Maternity and Children's Hospital,Laikipia,Level 4,Kenya Episcopal Conference-Catholic Secretariat
Dr C. Mwangi Clinic,Nairobi,Level 2,Private Practice - Medical Specialist
Vihiga County Beyond Zero Clinic,Vihiga,Level 2,Ministry of Health
Hullow Dispensary,Mandera,Level 2,Ministry of Health
Sunshine Medical  Clinc,Kajiado,,Private Practice - Nurse / Midwifery
Ngong View dental clinic,Kajiado,Level 2,Private Practice - Medical Specialist
Kwetu Medical centre,Kajiado,Level 2,Private Practice - Medical Specialist
Joysprings medical clinic,Kajiado,Level 2,Private Practice - Nurse / Midwifery
Tabernacle health  clinic,Kajiado,Level 2,Private Practice - General Practitioner
AAR Ngong Clinic,Kajiado,Level 2,Private Practice - General Practitioner
Karen hospital rongai,Kajiado,Level 2,Private Practice - General Practitioner
Sinai hospital,Kajiado,Level 2,Private Practice - General Practitioner
Little woods medical centre,Kajiado,Level 2,Private Practice - General Practitioner
Trinity care centre (Ngong),Kajiado,Level 2,Private Practice - Nurse / Midwifery
KIGANE DISPENSARY,Meru,Level 2,Ministry of Health
Uzima White Medical Clinic,Nairobi,Level 2,Private Practice - Nurse / Midwifery
TUMBURA DISPENSARY,Tharaka-Nithi,Level 2,Ministry of Health
RUKURINI DISPENSARY,Tharaka-Nithi,Level 2,Ministry of Health
Amani Mary Ballard Medical Clinic,Homa Bay,Level 2,Ministry of Health
EVANS HEALTHCARE CLINIC (West Kamagak),Homa Bay,Level 2,Private Practice - Clinical Officer
Charryl MC,Nakuru,Level 2,Private Practice - Clinical Officer
Capital MC,Nakuru,Level 2,Private Practice - Nurse / Midwifery
Bliss GVS Healthcare Kitale,Trans Nzoia,Level 2,Private Practice - Clinical Officer
Safecare Medical Centre,Trans Nzoia,Level 2,Private Practice - Medical Specialist
Pap Oriang' Dispensary,Siaya,Level 2,Ministry of Health
SIGONA MEDICAL CLINIC,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Weru Dispensary (Muthambi),Tharaka-Nithi,Level 2,Ministry of Health
MAVIRIVIRINI DESPENSARY,Kwale,Level 2,Ministry of Health
CHIGATO DISPENSARY,Kwale,Level 2,Ministry of Health
Kathathani Medical Centre  Annex,Meru,Level 2,Private Practice - Nurse / Midwifery
NKARINI DISPENSARY,Tharaka-Nithi,Level 2,Ministry of Health
KMC,Kajiado,Level 2,Non-Governmental Organizations
RUUNGU DISPENSARY,Tharaka-Nithi,Level 2,Ministry of Health
Mukwa Dispensary,Bungoma,Level 2,Ministry of Health
Mateka Clinic,Bungoma,Level 2,Private Practice - General Practitioner
Christ Hospital,Kisii,Level 2,Private Practice - Clinical Officer
IRUMA DISPENSARY,Tharaka-Nithi,Level 2,Ministry of Health
Emmanuel Community Health Clinic (Mutira),Kirinyaga,Level 2,Private Practice - Nurse / Midwifery
kirundi dispensary,Tharaka-Nithi,Level 2,Ministry of Health
Utugi Healthcare Centre,Meru,Level 2,Private Practice - Nurse / Midwifery
University of Kabianga Health Unit,Kericho,Level 2,Parastatal
Pemah Nursing and Maternity Home,Siaya,Level 3,Private Practice - Clinical Officer
Mwamanga,Kwale,Level 2,Ministry of Health
Machakos University College Clinic Machakos,Machakos,Level 2,Public Institution
Jirani Diagnostic Centre Machakos,Machakos,Level 2,Private Practice - Clinical Officer
Konza Dispensary,Machakos,Level 2,Ministry of Health
Athipoint Medical centre,Machakos,Level 2,Private Practice - Clinical Officer
KANCO DIC Kakamega,Kakamega,Level 2,Non-Governmental Organizations
ST. Nicholas MC,Nakuru,Level 2,Private Practice - Nurse / Midwifery
New Point MC,Nakuru,Level 2,Private Practice - Medical Specialist
Goodcare MC,Nakuru,Level 2,Private Practice - General Practitioner
New Point Medical Center,Nakuru,Level 3,Private Practice - Medical Specialist
Thung'ari Dispensary,Nyeri,Level 2,Ministry of Health
Mwanyas Medical Centre,Machakos,Level 2,Private Practice - Clinical Officer
KUTAYU DISPENSARY,Mandera,Level 2,Ministry of Health
Got Koyembe Dispensary,Siaya,Level 2,Ministry of Health
ST. ANNAH,Nakuru,Level 2,Private Practice - Nurse / Midwifery
Mundaha Medical Clinic,Kakamega,Level 2,Private Practice - Nurse / Midwifery
Eshibinga Health Centre,Kakamega,Level 2,Ministry of Health
Mulunguni Dispensary,Kilifi,Level 2,Ministry of Health
Miumoni Dispensary,Makueni,Level 2,Ministry of Health
Radiant Medical Clinic (Kiambu ),Kiambu,Level 2,Private Practice - General Practitioner
Misikhu Dispensary,Bungoma,Level 2,Ministry of Health
Uhembo Community Dispensary,Siaya,Level 2,Ministry of Health
Thika high school,Kiambu,Level 2,Public Institution
Kiboko farm dispensary,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Ndeya Medical Clinic Magut,Kakamega,Level 2,Private Practice - Clinical Officer
Koromaiti Dispensary,Kakamega,Level 2,Ministry of Health
Beyond Zero Clinic,Migori,Level 2,Ministry of Health
Beyond Zero Mobile Clinic (Kirinyaga),Kirinyaga,Level 2,Ministry of Health
Gakanga Dispensary,Nyeri,Level 2,Ministry of Health
Mulachi Dispensary,Bungoma,Level 2,Ministry of Health
Nomadic Clinic,Wajir,Level 2,Ministry of Health
Namarambi Dispensary,Bungoma,Level 2,Ministry of Health
Shallom Medical Clinic,Vihiga,Level 2,Non-Governmental Organizations
Mung'oma Hospital,Vihiga,Level 4,Non-Governmental Organizations
St. Jairus Hospital,Kisumu,Level 4,Company Medical Service
KIAMWERI DISPENSARY,Meru,Level 2,Ministry of Health
The Green Park Health Care,Kilifi,Level 2,Private Practice - General Practitioner
Grace memorial clinic,Kiambu,Level 2,Private Practice - Medical Specialist
Nasaka Dispensary,Bungoma,Level 2,Ministry of Health
Port Florence Community Hospital-Kericho,Kericho,Level 3,Private Practice - General Practitioner
Scanlab centre Nakuru,Nakuru,Level 2,Private Practice - Medical Specialist
Beyond Zero mobile clinic -Busia,Busia,Level 2,Ministry of Health
Tuwan Highway Medical Clinic,Trans Nzoia,Level 2,Private Practice - Clinical Officer
Trans Nzoia Wellness Centre (Neighbours In Action Kenya),Trans Nzoia,Level 2,Non-Governmental Organizations
Femicare Medical Centre,Machakos,Level 2,Private Practice - Clinical Officer
Kakimanyi Dispensary,Bungoma,Level 2,Ministry of Health
Equity Afia Ongata Rongai,Kajiado,Level 2,Private Practice - General Practitioner
Sitikho Dispensary,Bungoma,Level 2,Ministry of Health
Jamii Medical and Diagnostic centre,Nyamira,Level 2,Private Practice - Medical Specialist
The Hope spring Medical Clinic,Machakos,Level 2,Private Practice - Nurse / Midwifery
Pioneer medical clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
kiganjo medical clinic,Kiambu,Level 2,Private Practice - Nurse / Midwifery
Emmanuel Medical Clinic,Embu,Level 2,Private Practice - Nurse / Midwifery
Korr Health Centre,Marsabit,Level 3,Ministry of Health
Liza Medical clinic,Migori,Level 2,Private Enterprise (Institution)
St. Lydia Okore Dispensary,Kisumu,Level 2,Ministry of Health
Kuoyo Health Center,Kisumu,Level 3,Ministry of Health
Inuka Medical Center,Kisumu,Level 2,Private Practice - General Practitioner
Utugi Cfw Clinic,Embu,Level 2,Private Practice - Nurse / Midwifery
Outspan Hospital-Embu Medical Clinic,Embu,Level 2,Private Enterprise (Institution)
Musikoma Dispensary,Bungoma,Level 2,Ministry of Health
Ndengelwa Dispensary,Bungoma,Level 2,Ministry of Health
West Oljoroorok Medical Clinic,Nyandarua,Level 2,Private Practice - Clinical Officer
VINYUNDUNI DISPENSARY,Kwale,Level 2,Ministry of Health
Timiza Medical Centre,Machakos,Level 2,Private Practice - Clinical Officer
St James Health Services Medical Clinic,Meru,Level 2,Private Practice - Nurse / Midwifery
Kaguma Dispensary,Meru,Level 2,Ministry of Health
Gitauga Dispensary,Meru,Level 2,Ministry of Health
Rays of Hope,Meru,Level 2,Non-Governmental Organizations
Mikuyu Dispensary,Machakos,Level 2,Ministry of Health
RAPHA HOSPITAL -MAKUENI,Makueni,Level 3,Private Practice - General Practitioner
Mutuyu Dispensary,Machakos,,Ministry of Health
Ikulu Dispensary,Machakos,Level 2,Ministry of Health
Kochieng Health Centre,Kisumu,Level 3,Ministry of Health
Syotuvali Dispensary,Makueni,Level 2,Ministry of Health
Beyond Zero mobile clinic(Trans-Nzoia county),Trans Nzoia,Level 3,Ministry of Health
Garissa Beyond Zero Mobile Clinic,Garissa,Level 2,Ministry of Health
Jubilee Medical Centre,Nyandarua,Level 2,Private Practice - Nurse / Midwifery
Kadhiambo dispensary,Kisumu,Level 2,Ministry of Health
MARY BALLARD COMMUNITY CLINIC,Homa Bay,Level 2,Ministry of Health
TUIYOBEI AGC DISPENSARY,Kericho,Level 2,Christian Health Association of Kenya
Bondo Awino,Homa Bay,Level 2,Other Faith Based
Beyond Zero Clinic Lamu,Lamu,Level 2,Ministry of Health
Gibea Medical Clinic,Nakuru,Level 2,Private Practice - Clinical Officer
Imani Medical Centre Kiamunyi,Nakuru,Level 2,Private Practice - Clinical Officer
The Samari-Med,Homa Bay,Level 2,Private Practice - Clinical Officer
Dr. Bashir,Nairobi,Level 2,Private Practice - General Practitioner
Mary Magdaline Medical Clinic,Samburu,Level 2,Private Practice - Nurse / Midwifery
Dr. C.K Jandu,Samburu,Level 2,Private Practice - General Practitioner
Makadara Sub County  Office,Nairobi,Level 3,Ministry of Health
Charolyn Specialist Clinic,Nairobi,Level 2,Private Practice - Medical Specialist
Kisasi Dispensary,Baringo,Level 2,Ministry of Health
Development Pamoja Dispensary,Turkana,Level 2,Non-Governmental Organizations
"ST Faustine""s Health Services",Bungoma,Level 2,Private Practice - Nurse / Midwifery
Soliat Dispensary(Eldoret ),Uasin Gishu,Level 2,Ministry of Health
Suva health services,Kiambu,Level 2,Private Enterprise (Institution)
Magogoni Dispensary,Kiambu,Level 2,Ministry of Health
Ngaru Dispensary,Nyeri,Level 2,Ministry of Health
Jirena Medical Centre,Marsabit,Level 2,Private Practice - Nurse / Midwifery
Riziki Medical Clinic,Kwale,Level 2,Private Practice - Clinical Officer
Tumaini Letu Health Services,Machakos,Level 2,Private Practice - General Practitioner
Kambu Life Care Medical Centre,Makueni,Level 2,Private Practice - Clinical Officer
Olchorro Dispensary,Kajiado,Level 2,Ministry of Health
Marie Stopes Kakamega Clinic,Kakamega,Level 2,Non-Governmental Organizations
Lupe Medical Centre,Kakamega,Level 3,Private Practice - Medical Specialist
